id,label,ra,dec,mag,survey
41990165729500344438,SN,322.299,-29.16283,19.32,TNS
34429271841083671904,SN,201.47821,-37.23668,19.1,TNS
36227822072602149797,OTHER,3.50704,-23.19311,16.4352,TNS
25031901768654338216,VS,284.05417,-38.89484,18.36,TNS
75889850337858255931,SN,222.71025,-77.88227,17.53,TNS
80247908238643209020,SN,213.57675,10.67821,17.6,TNS
59536042676856100435,SN,312.407,-55.10504,17.5,TNS
46204595808533271913,SN,218.69587,-19.42537,18.666,TNS
79181128072276627913,SN,280.57887,-55.65327,18.63,TNS
25398626408795743240,SN,215.18192,13.69576,17.9,TNS
77184628157184418567,SN,150.52487,-15.29867,17.6,TNS
15652883219544916654,SN,210.149,-7.73504,19.083,TNS
13201739812335676143,SN,203.40175,-33.20704,18,TNS
41798471996778788795,SN,249.24025,63.96993,18.67,TNS
37266770132624083180,SN,217.12921,37.06777,18.944,TNS
53519716854636093006,SN,254.49479,-62.73158,16.4,TNS
87553493586259113730,SN,242.41333,-32.06256,17.3,TNS
4495650017926747927,SN,329.51621,-19.75337,18.946,TNS
94147349061632818020,AGN,257.236,27.39807,18.33,TNS
61515012702491564110,SN,291.91083,61.94683,17.2,TNS
54345128723354652485,SN,248.92817,4.82591,19.019,TNS
64712928691573238256,VS,270.07625,15.25794,17.373,TNS
81949271423647932689,SN,224.3695,5.84253,18.6,TNS
58898299404351913342,SN,219.87662,-35.18961,17.8,TNS
22071166207882145644,SN,152.61712,2.23049,17.9,TNS
14527565170688958434,SN,128.34283,-76.62774,16.5,TNS
34106559636270634928,VS,291.074,-19.38608,18.216,TNS
28574442868803337701,VS,241.22371,-28.23924,17.818,TNS
82912176266650034059,SN,113.31633,-11.23403,17.86,TNS
57517879345775478982,VS,280.46271,37.87463,14.92,TNS
90490081841582954717,SN,175.89017,-23.57992,19.255,TNS
42199532440826550646,VS,251.77379,-7.31558,18.139,TNS
62054013052687966378,SN,320.46162,-61.40833,18.92,TNS
85915292589978971807,SN,167.45933,28.97138,18.89,TNS
