NNo,GCVS,J2000.0,Type,Max,Min I,Min II,,Epoch,Year,Period,M-m,Spectrum,References,Other desig. p.m.(as/yr),,Epoch,,Ident.,New type,GCVS,
180711,V0711 Cas *,003823.6  +482255. ,E,25.02,26.19,,g,47035.866,,0.36077,,,73075 73075,,,1987,,GCVS,E,V0711 Cas,
180713,V0713 Cas *,003827.4  +482152. ,E,24.55,25.59,,g,46731.69,,0.51423,,,73075 73075,,,1987,,GCVS,E,V0713 Cas,
180715,V0715 Cas *,003854.0  +482516. ,E,24.32,25.44,,g,47036.769,,0.71358,,,73075 73075,,,1987,,GCVS,E,V0715 Cas,
180712,V0712 Cas *,003826.8  +482009. ,E,24.48,25.41,,g,47036.769,,0.7225,,,73075 73075,,,1987,,GCVS,E,V0712 Cas,
180717,V0717 Cas *,003857.4  +482425. ,RRC,24.28,25.33,,g,47034.94,,0.21599,,,73075 73075,,,1987,,GCVS,RR1,V0717 Cas,
180719,V0719 Cas *,003858.6  +482658. ,E,24.3,25.33,,g,46733.62,,0.62853,,,73075 73075,,,1987,,GCVS,E,V0719 Cas,
180714,V0714 Cas *,003827.5  +482620. ,E,24.46,25.32,,g,46733.725,,0.29863,,,73075 73075,,,1987,,GCVS,E,V0714 Cas,
180718,V0718 Cas *,003857.8  +482732. ,E,24.22,25.2,,g,47035.87,,1.33835,,,73075 73075,,,1987,,GCVS,E,V0718 Cas,
850221,HU    Vel *,083520.68 -451035.5,PSR,23.2,25.2,,B,,,,,,10135 08276,,,1986.39,,Lit.,,HU    Vel,
180716,V0716 Cas *,003857.4  +482707. ,E,24.17,25.08,,g,,,0.73948,,,73075 73075,,,1987,,GCVS,E,V0716 Cas,
10319,PU    And *,004524.8  +404812. ,EB,24.2,24.93,24.4,B,46350.83,,0.5685,,,70004,#NULL!,,,,GCVS,EC,PU    And,
725678,V5678 Sgr,175215.09 -222032.4,XND,16.29,24.4,,i',55139,2009,,,ea,81206 81207,,,2009.84,,lit.,,V5678 Sgr,
880406,V0406 Vul,185841.51 +223930.2,XND,15.33,24,,V,,,,,,76193 76194,,,1999.784,,Lit.,,V0406 Vul,
630512,V0512 Per,032903.77 +311604.0,INT,20.22,23.8,,V,,,,,,71022 71022,,,1992.742,,GSC2.2,,V0512 Per,
725511,V5511 Sgr,181339.04 -334622.3,XP,18.05,23.3,,R,,,,,,78233 78233,,,2003.47,,Lit.,,V5511 Sgr,
40273,LY    Aqr *,205107.51 -082737.3,R,22.34,23.24,,R,,,0.1,,,75013 75013,,,,,Lit.,R,LY    Aqr,
880498,V0498 Vul *,195951.29 +224232.3,UGSU,15.6,23,,*,,,,,,80233 80537,,,2005.629,,Lit.,,V0498 Vul,
410045,WW    Hor,023611.45 -521914.4,E+XM,18.4,23,,B,,,,,,69163 69164,,,1979.806,,A2.0,,WW    Hor,
570332,QX    Nor *,161243.04 -522523.6,XND,18.2,23,,I,,,,,,04119 08521,,,1979.234,,GCVS,,QX    Nor,
592134,V2134 Oph,170206.53 -295644.0,XBND,18.3,23,,V,,,,,,67093 67115,,,1999.334,,GCVS,,V2134 Oph,
710332,QX    Sge,195936.77 +204815.2,E/PSR,20.4,23,,V,,,,,,69236 69236,,,1988.657,,Lit.,,QX    Sge,
870038,UY    Vol,074833.70 -674507.5,XBN+E,16.9,23,,V,,,,,,68301 68300,,,1996.139,,GSC2.2,,UY    Vol,
120126,CZ    Cnc,082522.24 +202158.8,UV,13.5,23,,p,,,,,M,08354 N0337,,,1998.023,,2MASS,UV,CZ    Cnc,
120286,MX    Cnc,091534.91 +081356.1,UG,17.7,23,,r,,,,,pec(UG),81130 81130,,0.000  0.000,2008.053,,Lit.,,MX    Cnc,
860193,GK    Vir *,141536.53 +011717.7,EA/WD,17.01,23,,V,42543.8371,,0.344330809,1,,08278 08278,,,1955.374,,A2.0,,GK    Vir,
20100,BW    Ant *,092920.19 -312303.2,XP,18.63,22.89,,V,,,,,,80321 80321,,,2002.336,,Lit.,X,BW    Ant,
40340,V0340 Aqr,214842.53 -000723.4,UGSU,15,22.8,,r',,,,,,80582,,,2001.788,,SDSS,UGSU,V0340 Aqr,
360225,HY    Eri,050145.61 -035937.0,XM+EA,17.4,22.7,,V,,,,,,76040 76005,,,1955.954,,A2.0,,HY    Eri,
50605,V0605 Aql *,191820.44 +014659.5,*,10.4,22.5,,V,,,,,C(R0),N0267,,,,,Lit.,Nhf,V0605 Aql,
190868,V0868 Cen,135010.60 -630852.0,NA,10.24,22.5,,V,48376,1991,,,pec(Nova),N0515 N0516,,,,,Lit.,N,V0868 Cen,
724722,V4722 Sgr,181044.35 -260901.0,XB,21.5,22.5,,B,,,,,,76171 76171,,,1998.196,,GCVS,,V4722 Sgr,
