NNo,GCVS,RA,Dec,RA (hourangle),Type,Max,Min I,Min II,,Epoch,Year,Period,M-m,Spectrum,References,Other desig. p.m.(as/yr),,Epoch,,Ident.,New type,GCVS
490182,FS    Lib *,240.0989167,-12.3493056,16.00659445,M,15.1,20.2,,p,36685,,415,,M8.1-M9.0,03519 GSC,,,1983.061,,GSC,,FS    Lib
40228,IK    Aqr,336.43225,-11.2279167,22.42881667,BLLAC,19.1,20.2,,p,,,,,pec(BL),04033 76005,,,1954.654,,A2.0,BLLac,IK    Aqr
160135,DM    Cap *,328.546375,-9.0226944,21.90309167,NL,20.2,20.7,,*,,,,,pec(e),80030 GSC23,,,1987.784,,GSC2.3,CV,DM    Cap
360258,KY    Eri,47.71525,-7.91675,3.181016667,UGSU,15.6,20.7,,V,,,,,pec(UG),80027 80027,,,1993.726,,GSC2.3,,KY    Eri
40274,LZ    Aqr *,320.8105833,-5.7980278,21.38737222,XNDR,16.5,21.7,,R,50998,1998,,,pec(e),N0130,,,,,Lit.,XN,LZ    Aqr
420406,V0406 Hya,136.478125,-5.6023056,9.098541667,NL,16.5,20.3,,V,,,,,,78123 USNO,,,1977.4,,B1.0,,V0406 Hya
550686,V0686 Mon,111.428,-3.1060833,7.428533333,M,11.5,21,,p,,,,,,69197 69198,,,1986.197,,GSC2.2,,V0686 Mon
210173,FI    Cet,27.827375,-2.3835278,1.855158333,UG,14,20.8,,R,,,,,,78029 78029,,,1985,,B1.0,,FI    Cet
860595,V0595 Vir,221.4591667,-2.2304444,14.76394445,RRAB,18.6,20.1,,V,51236.8331,,0.50238,15,,80159 USNO,,,1957.323,,A2.0,,V0595 Vir
660082,BD    Psc,345.512625,-2.1944444,23.034175,UV,>18.,21,,p,,,,,,70092 70092,,,1953.914,,A2.0,,BD    Psc
760453,V0453 Ser,233.7195417,-1.6713333,15.58130278,RRAB,19.2,20.1,,V,51612.8728,,0.540028,11,,80159 USNO,,,1950.462,,A2.0,,V0453 Ser
760481,V0481 Ser,237.8210417,-1.61825,15.85473611,RRAB,18.9,20.1,,V,51999.9187,,0.496769,13,,80159 G2.3,,,1992.426,,GSC2.3,,V0481 Ser
760417,V0417 Ser,228.532,-1.4353611,15.23546667,RRAB,19.1,20.3,,V,51621.8781,,0.545916,,,80159 USNO,,,1955.3,,A2.0,,V0417 Ser
860558,V0558 Vir,216.756625,-1.3861944,14.45044167,AM,15.1,20.4,,R,,,,,pec(e),80400 SDSS,,-0.026  0.025,2000,,SDSS,,V0558 Vir
860548,V0548 Vir,215.027,-1.0178056,14.33513333,RRAB,19.2,20.2,,V,51338.6598,,0.545176,15,,80159 USNO,,,1955.39,,A2.0,,V0548 Vir
490308,OU    Lib,227.53725,-0.9748056,15.16915,RRAB,18.7,20.1,,V,51612.8382,,0.480064,11,,80159 USNO,,,1955.3,,A2.0,,OU    Lib
490283,MU    Lib,224.1577083,-0.9397222,14.94384722,RRAB,18.7,20.1,,V,51618.7483,,0.568229,13,,80159 USNO,,,1957.323,,A2.0,,MU    Lib
40380,V0380 Aqr *,340.5002917,-0.7061667,22.70001945,RR(B),20,20.6,,r',,,0.364,,,81040 USNO,,,1988.607,,G23,,V0380 Aqr
40334,QZ    Aqr *,322.84325,-0.6602778,21.52288333,UGSU,14.1,21,,*,,,,,,80577 USNO,,,1989.712,,GSC2.3,UGSU,QZ    Aqr
760452,V0452 Ser,233.6631667,-0.4375833,15.57754445,RRAB,18.9,20.2,,V,51257.8988,,0.636913,,,80159 USNO,,,1950.462,,A2.0,,V0452 Ser
40369,V0369 Aqr *,321.6224583,-0.3483333,21.44149722,RR(B),19.7,20.2,,r',,,0.439661,,,81040 USNO,,,1989.712,,G23,,V0369 Aqr
860508,V0508 Vir,208.4271667,-0.2858611,13.89514445,RRAB,19.3,20.3,,V,51579.9155,,0.550159,,,80159 USNO,,,1952.08,,A2.0,,V0508 Vir
760489,V0489 Ser,238.8833333,-0.1819722,15.92555555,EA,19.2,21,,*,53873.59434,,0.078847,12,pec(e),80064 80027,,,1992.424,,GSC2.3,,V0489 Ser
40340,V0340 Aqr,327.1772083,-0.1231667,21.81181389,UGSU,15,22.8,,r',,,,,,80582,,,2001.788,,SDSS,UGSU,V0340 Aqr
210201,GS    Cet,12.712125,0.1535833,0.847475,NL,20.65,20.85,,g,,,0.0558,,pec(e),80064 80027,,,1990.659,,GSC2.3,,GS    Cet
660260,LL    Psc *,350.446375,0.2356667,23.36309167,RR(B),19.8,20.6,,r',,,0.3486,,,81040 GSC23,,,1991.674,,G23,,LL    Psc
210216,HP    Cet,38.344125,0.8500833,2.556275,NL,19.4,20.1,,V,,,,,pec(e),80119 USNO,,,1984.5,,B1.0,,HP    Cet
40330,QV    Aqr *,316.2080833,1.0960556,21.08053889,UG,17.05,21,,g,,,,,pec(UG),80064 79229,,,2000,,Lit.,UG,QV    Aqr
860193,GK    Vir *,213.9022083,1.28825,14.26014722,EA/WD,17.01,23,,V,42543.8371,,0.344330809,1,,08278 08278,,,1955.374,,A2.0,,GK    Vir
860324,PZ    Vir,201.0482083,3.3473611,13.40321389,AM,20.5,21.8,,r,,,,,,78168 78043,,,2002.2,,Lit.,,PZ    Vir
460221,HU    Leo,141.1852917,8.0308333,9.41235278,EA+AM,18.2,21.5,,V,54856.71933,,0.0911411,8,pec(e),80237 USNO,,,2000.143,,2MASS,,HU    Leo
120286,MX    Cnc,138.8954583,8.23225,9.25969722,UG,17.7,23,,r,,,,,pec(UG),81130 81130,,0.000  0.000,2008.053,,Lit.,,MX    Cnc
120164,EU    Cnc *,132.8631667,11.7826111,8.857544447,XM,20.4,21,,V,,,0.0871,,pec(e),71080 79229,,,,,GCVS,AM,EU    Cnc
120079,AZ    Cnc *,130.1237083,18.4023889,8.674913887,UV,14.1,20.5,,U,,,,,M6.5Ve,03924 2MASS,,-1.267,2000,,2MASS+pm,UV,AZ    Cnc
120081,BC    Cnc *,130.2791667,19.0286111,8.68527778,UV,16.8,20.9,,U,,,,,M,5520,,,,,,UV,BC    Cnc
120116,CP    Cnc *,130.8416667,19.2011111,8.72277778,UV,16.4,20.1,,p,,,,,,70013,,,,,,UV,CP    Cnc
120107,CF    Cnc *,129.6416667,19.2588889,8.64277778,UV,14.4,20.6,,U,,,,,,70013,,,,,,UV,CF    Cnc
120080,BB    Cnc *,130.1583333,19.4963889,8.67722222,UV,15.7,21.8,,U,,,,,M,5520,,,,,,UV,BB    Cnc
70022,SV    Ari,51.2639167,19.8313611,3.417594447,N,12,22.1,,p,17156,1905,,,,72118 72118,,,1994.753,,Lit.,N,SV    Ari
