"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"16860","AT 2016jax","08:32:53.77","+42:08:01.63","","","","","ATLAS","","ATLAS","ATLAS16ecb","ATLAS1 - ACAM1","","1","1","","17.6","cyan-ATLAS","2016-12-24 11:47:02","ATLAS_Bot1",""
"16859","AT 2016jaw","08:48:21.89","+24:31:51.93","","","","","ATLAS, Pan-STARRS1","","ATLAS; Pan-STARRS1","ATLAS16ecc","ATLAS1 - ACAM1, PS1 - GPC1","","1","1","","17.98","cyan-ATLAS","2016-12-23 12:30:14","ATLAS_Bot1",""
"16858","AT 2016jav","06:39:59.94","+53:46:53.26","","","","","ATLAS","","ATLAS","ATLAS16eci","ATLAS1 - ACAM1","","1","1","","18.33","cyan-ATLAS","2016-12-24 10:16:19","ATLAS_Bot1",""
"16857","AT 2016jau","08:00:40.94","+28:19:32.15","","","","","ATLAS","","ATLAS","ATLAS16ech","ATLAS1 - ACAM1","","1","1","","17.93","cyan-ATLAS","2016-11-25 15:12:57","ATLAS_Bot1",""
"16856","AT 2016jat","03:40:27.13","+40:18:25.33","","","","","ATLAS","","ATLAS","ATLAS16ebx","ATLAS1 - ACAM1","","1","1","","18.22","cyan-ATLAS","2016-11-26 09:27:21","ATLAS_Bot1",""
"16855","AT 2016jas","06:03:00.89","+46:26:46.08","","","","","ATLAS","","ATLAS","ATLAS16ecn","ATLAS1 - ACAM1","","1","1","","18.38","orange-ATLAS","2016-12-20 10:58:04","ATLAS_Bot1",""
"16854","AT 2016jar","01:10:49.29","+19:48:57.07","","","","","ATLAS, Pan-STARRS1","","ATLAS; Pan-STARRS1","ATLAS16ecf","ATLAS1 - ACAM1, PS1 - GPC1","","1","1","","18.28","orange-ATLAS","2016-12-15 06:46:04","ATLAS_Bot1",""
"16853","AT 2016jaq","02:37:24.73","+37:24:26.42","","","","","ATLAS, Pan-STARRS1","","ATLAS; Pan-STARRS1","ATLAS16eby","ATLAS1 - ACAM1, PS1 - GPC1","","1","1","","17.85","cyan-ATLAS","2016-12-24 07:30:43","ATLAS_Bot1",""
"16852","AT 2016jap","00:17:01.21","+21:20:36.12","","","","","ATLAS","","ATLAS","ATLAS16ecw","ATLAS1 - ACAM1","","1","1","","18.55","cyan-ATLAS","2016-12-23 06:07:12","ATLAS_Bot1",""
"16851","AT 2016jao","01:01:57.57","+29:07:31.72","","","","","ATLAS, GaiaAlerts","","ATLAS; GaiaAlerts","ATLAS16ece","ATLAS1 - ACAM1, Gaia - Gaia-photometric","","1","1","","18.11","cyan-ATLAS","2016-12-23 06:40:19","ATLAS_Bot1",""
"16850","AT 2016jan","10:14:35.98","+48:54:21.85","","","","","ATLAS","","ATLAS","ATLAS16ecv","ATLAS1 - ACAM1","","1","1","","18.53","orange-ATLAS","2016-12-20 12:28:48","ATLAS_Bot1",""
