"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"26758","AT 2018bzl","22:23:02.40","+50:33:07.16","","","","","GaiaAlerts","","GaiaAlerts","Gaia18big","Gaia - Gaia-photometric","","1","1","","18.3","G-Gaia","2018-05-24 12:11:31","Gaia_Bot1",""
"26757","AT 2018bzk","12:37:59.83","-68:13:17.18","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bif","Gaia - Gaia-photometric","","1","1","","16.63","G-Gaia","2018-05-24 02:54:14","Gaia_Bot1",""
"26756","AT 2018bzj","19:54:01.92","-27:25:38.39","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bie","Gaia - Gaia-photometric","","1","1","","17.77","G-Gaia","2018-05-04 07:36:28","Gaia_Bot1",""
"26755","AT 2018bzi","15:55:55.46","-70:20:18.49","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bid","Gaia - Gaia-photometric","","1","1","","18.27","G-Gaia","2018-05-23 14:36:57","Gaia_Bot1",""
"26754","AT 2018bzh","14:08:29.03","-70:16:16.68","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bic","Gaia - Gaia-photometric","","1","1","","17.69","G-Gaia","2018-05-24 08:47:02","Gaia_Bot1",""
"26753","AT 2018bzg","05:20:41.16","+65:57:51.55","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bib","Gaia - Gaia-photometric","","1","1","","17.3","G-Gaia","2018-05-22 13:01:55","Gaia_Bot1",""
"26752","AT 2018bzf","19:50:57.18","-23:30:59.65","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bia","Gaia - Gaia-photometric","","1","1","","18.55","G-Gaia","2018-05-23 07:39:21","Gaia_Bot1",""
"26751","AT 2018bze","09:12:01.93","-70:21:45.50","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhz","Gaia - Gaia-photometric","","1","1","","18.88","G-Gaia","2018-05-19 02:58:33","Gaia_Bot1",""
"26750","AT 2018bzd","07:39:50.66","-24:42:02.16","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhy","Gaia - Gaia-photometric","","1","1","","18.9","G-Gaia","2018-05-19 03:41:45","Gaia_Bot1",""
"26749","AT 2018bzc","07:12:58.16","+43:15:43.06","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhw","Gaia - Gaia-photometric","","1","1","","18.36","G-Gaia","2018-05-23 04:49:26","Gaia_Bot1",""
"26748","AT 2018bzb","19:33:14.52","+07:36:06.91","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhv","Gaia - Gaia-photometric","","1","1","","18.94","G-Gaia","2018-05-19 13:04:48","Gaia_Bot1",""
"26747","AT 2018bza","09:04:34.15","-36:36:11.63","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhu","Gaia - Gaia-photometric","","1","1","","16.77","G-Gaia","2018-05-22 15:31:40","Gaia_Bot1",""
"26746","AT 2018byz","09:20:33.36","-44:25:04.91","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bht","Gaia - Gaia-photometric","","1","1","","19.13","G-Gaia","2018-04-15 05:35:31","Gaia_Bot1",""
"26745","AT 2018byy","08:58:00.08","-30:09:42.80","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhs","Gaia - Gaia-photometric","","1","1","","17.66","G-Gaia","2018-05-22 21:37:26","Gaia_Bot1",""
"26744","AT 2018byx","07:20:49.87","-28:12:22.90","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhr","Gaia - Gaia-photometric","","1","1","","18.74","G-Gaia","2018-04-23 09:46:04","Gaia_Bot1",""
"26743","AT 2018byw","21:38:16.82","-27:33:28.69","","","2MASX J21381685-2733285 ","0.029991","ASAS-SN","","ASAS-SN","ASASSN-18le","ASASSN-5 - Payne-Gaposchkin, ASASSN-3 - Paczynski","","1","1","","17","g-Sloan","2018-05-24 06:14:24","Stanek",""
"26742","AT 2018byv","08:33:38.66","-27:45:35.42","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhq","Gaia - Gaia-photometric","","1","1","","17.11","G-Gaia","2018-05-21 21:38:52","Gaia_Bot1",""
"26741","AT 2018byu","19:06:00.58","-38:23:06.29","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bhp","Gaia - Gaia-photometric","","1","1","","16.52","G-Gaia","2018-05-21 07:55:12","Gaia_Bot1",""
