ID,Name,RA,DEC,Type,Redshift,Host Name,Host Redshift,Discovering Group/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag,Discovery Mag Filter,Discovery Date (UT),Sender,Ext. catalog/s,SDSS objid,SDSS type,SDSS offset,SDSS ra,SDSS dec,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,SDSS redshift,SDSS err_u,SDSS err_g,SDSS err_r,SDSS err_i,SDSS err_z,SDSS err_redshift
26650,SN 2018bvi,213.57675,10.67821,SN Ib,0.02417,SDSS J141418.24+104039.0  ,0.02417,ASAS-SN,Global SN Project,ASAS-SN,ASASSN-18ky,"ASASSN-3 - Paczynski, ASASSN-1 - Brutus",FTN - FLOYDS-N,1,1,,17.6,V-Johnson,2018-05-20 08:52:48,Stanek,,1237662198814343328,3,0.0588660593123986,213.576040586855,10.6775196595523,17.90862,16.78251,16.34556,16.13886,15.92727,0.025562,0.02228053,0.004632785,0.004430166,0.00507538,0.01403482,0.007372
26605,SN 2018btp,210.149,-7.73504,SN Ia,0.076,,,ATLAS,ePESSTO,ATLAS,ATLAS18pkq,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,19.083,orange-ATLAS,2018-05-14 11:08:09,ATLAS_Bot1,,1237671992419745945,3,0.0979669237327872,210.147401711547,-7.73464285478559,18.78298,16.60694,15.67673,15.2535,14.90403,0.080214,0.03848084,0.004198133,0.003106075,0.003262822,0.005787565,0.009512
26598,SN 2018bti,217.12921,37.06777,SN II,0.024826,,,ATLAS,Global SN Project,ATLAS,ATLAS18piz,ATLAS1 - ACAM1,FTN - FLOYDS-N,1,1,,18.944,orange-ATLAS,2018-05-16 11:31:12,ATLAS_Bot1,,1237662305653555301,3,0.0175500309841951,217.128856402032,37.0678471453177,18.09976,16.96095,16.52542,16.29518,16.05625,0.032457,0.03245886,0.005492993,0.005529271,0.009939771,0.01566611,0.007962
26599,SN 2018btj,249.24025,63.96993,SN Ia,0.0632,,,ATLAS,Global SN Project,ATLAS,ATLAS18pje,ATLAS1 - ACAM1,FTN - FLOYDS-N,1,1,,18.67,cyan-ATLAS,2018-05-18 11:35:31,ATLAS_Bot1,,1237671940876665112,3,0.0727804208552212,249.243013975599,63.9699183451049,23.90625,20.8244,20.50433,20.44112,20.77806,0.050362,1.163186,0.03737771,0.0395485,0.06182927,0.2577012,0.061196
26581,SN 2018bsr,291.91083,61.94683,SN Ia,,VII Zw 884,,ASAS-SN,ASAS-SN,ASAS-SN,ASASSN-18kl,ASASSN-4 - Leavitt,LT - SPRAT,1,1,,17.2,g-Sloan,2018-05-16 07:40:48,Stanek,,1237671939274375496,3,0.0334202245435567,291.911530914356,61.9472789949972,18.04724,16.37993,15.68398,15.31369,14.97725,0.034245,0.0234533,0.003754981,0.003158075,0.003248593,0.00566253,0.01158
26585,AT 2018bsv,257.236,27.39807,Galaxy,0.106,,,ZTF,ePESSTO,ZTF,ZTF18aarqliy,P48 - ZTF-Cam,ESO-NTT - EFOSC2-NTT,1,1,,18.33,r-ZTF,2018-04-24 10:29:16,ZTF_Bot1,,1237661388696715885,3,0.00524818537821266,257.235948591142,27.398144617247,19.21676,17.21658,16.30145,15.89216,15.58177,0.072028,0.02911256,0.004415422,0.003626601,0.003733538,0.00624865,0.013388
26580,SN 2018bsq,248.92817,4.82591,SN Ia,0.06,,,"ATLAS, Pan-STARRS1",ePESSTO,ATLAS; Pan-STARRS1,ATLAS18pda,"ATLAS1 - ACAM1, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,19.019,orange-ATLAS,2018-05-08 13:12:00,ATLAS_Bot1,,1237662198293005502,3,0.0521462104156457,248.929042193669,4.82591178744067,21.75774,20.09813,19.58306,19.40354,19.22691,0.102082,0.3921898,0.06236623,0.0410281,0.04953662,0.1444475,0.045336
26569,SN 2018bsg,152.61712,2.23049,SN IIb,0.0217,UGC 05487,0.021686,ASAS-SN,ePESSTO,ASAS-SN,ASASSN-18ke,ASASSN-5 - Payne-Gaposchkin,ESO-NTT - EFOSC2-NTT,1,1,,17.9,g-Sloan,2018-05-15 18:00:00,Stanek,,1237651753998352559,6,0.0425921033485376,152.616553355382,2.23006184900665,21.95307,21.40727,20.99095,21.21075,21.25437,0,0.2234143,0.06754977,0.06525559,0.1103264,0.4490381,0
26258,AT 2018biy,251.77379,-7.31558,Varstar,,,,"ATLAS, Pan-STARRS1",ePESSTO,ATLAS; Pan-STARRS1,ATLAS18ofx,"ATLAS1 - ACAM1, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,18.139,orange-ATLAS,2018-05-08 13:22:04,ATLAS_Bot1,,1237668650931650787,3,0.0463961288457931,251.773381968518,-7.31492109621664,25.84639,25.12143,22.95969,24.55067,22.8186,0.007601,0.9146381,0.8862458,0.3586892,1.008144,0.9488295,0.085796
26244,SN 2018bil,167.45933,28.97138,SN Ia,0.032,,,ZTF,ePESSTO,ZTF,ZTF18aarcypa,P48 - ZTF-Cam,ESO-NTT - EFOSC2-NTT,1,1,,18.89,r-ZTF,2018-05-07 04:30:43,ZTF_Bot1,,1237667211596464313,3,0.0133027848320792,167.459578688023,28.971337326926,17.61127,15.72726,14.92329,14.54517,14.26085,0.03884,0.01658121,0.002842543,0.002564603,0.002621376,0.004944157,0.013208
26222,SN 2018bhp,224.76904,19.5872,SN Ia,0.054,,,ATLAS,ePESSTO,ATLAS,ATLAS18oav,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,18.25,orange-ATLAS,2018-05-09 11:55:40,ATLAS_Bot1,,1237665566074470565,6,0.00283907320231185,224.769072916598,19.587235738653,22.12241,25.11438,24.31181,24.3618,22.8269,0,0.2285614,0.6650143,0.660684,0.6888134,0.662369,0
26225,SN 2018bhs,248.56567,26.88957,SN Ia,0.07,,,ATLAS,ePESSTO,ATLAS,ATLAS18oat,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,19.164,orange-ATLAS,2018-05-09 13:03:21,ATLAS_Bot1,,1237661465455428438,3,0.0737701549368743,248.564605565537,26.8903512949652,24.55909,23.15154,21.65093,20.99854,20.69531,0.420973,1.06532,0.2397216,0.09745469,0.08460853,0.2100233,0.09427
26226,SN 2018bht,246.62421,17.32059,SN Ia,0.09,,,ATLAS,ePESSTO,ATLAS,ATLAS18oas,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,19.313,orange-ATLAS,2018-05-09 13:12:00,ATLAS_Bot1,,1237665536544539059,3,0.0283358130682521,246.62373284168,17.3204653673194,21.10047,19.34555,18.40186,17.88568,17.45621,0.124297,0.1899357,0.01644922,0.01172829,0.01111281,0.03146899,0.029814
26209,SN 2018bhc,251.60537,25.42146,SN Ia,0.056,,,"GaiaAlerts, ATLAS",ePESSTO,ATLAS; GaiaAlerts,Gaia18bek,"Gaia - Gaia-photometric, ATLAS1 - ACAM1",ESO-NTT - EFOSC2-NTT,1,1,,17.8,G-Gaia,2018-05-07 18:31:40,Gaia_Bot1,,1237662474235216266,3,0.00340716402888975,251.605431802545,25.4214704381127,19.76712,18.04527,17.19778,16.77378,16.44994,0.075588,0.05698213,0.006965656,0.005352009,0.005137671,0.01239116,0.019946
26208,SN 2018bhb,231.85508,-0.44789,SN Ia,0.053,CGCG 021-098  ,0.053,"PTSS, ATLAS","PTSS, ePESSTO",ATLAS; PTSS,PTSS-18ecg,"CNEOST - STA1600, ATLAS1 - ACAM1","Lijiang-2.4m - YFOSC, ESO-NTT - EFOSC2-NTT",1,1,,17.9,r-Sloan,2018-05-08 17:15:21,Li,,1237648720716562648,6,0.0163243788634815,231.855278031109,-0.447703426201814,25.50277,24.07784,22.05728,21.14067,20.3789,0,0.6748652,0.4199429,0.1304452,0.08298406,0.1635856,0
26206,SN 2018bgz,222.40958,25.3702,SN Ia,0.033927,,,"SNHunt, ATLAS, ASAS-SN",,ASAS-SN; ATLAS; CRTS; SNHunt,,"Other - Other, ATLAS1 - ACAM1, ASASSN-3 - Paczynski",LT - SPRAT,1,1,,18,V-crts-CRTS,2018-05-08 07:22:13,Drake,,1237665429711159372,3,0.020507994625616,222.409203278098,25.3702310117529,24.29706,22.47868,21.23506,20.72147,20.25617,0.411397,0.9149429,0.1119797,0.05755593,0.06577712,0.1495981,0.103861
