id,ra,dec,transient_label,survey,host_label,offset,redshift,transient_mag,u,g,r,i,z
47482160539508510491,248.04825,42.71322,SN,TNS,1,0.0515147021675716,0.053085,17.29,18.52126,16.51775,15.5428,15.04271,14.59732
46420955437513684310,140.86437,17.18428,SN,TNS,1,0.0250911911329684,-9999,19.378,17.81253,30.58521,29.13848,21.08523,26.9129
23108853899208338567,21.11087,-2.14057,SN,TNS,1,0.0940300404108496,0.065035,17.39,18.97515,17.80783,17.37733,17.08062,17.01455
395558174770097760,228.47625,4.75726,SN,TNS,1,0.00669345446220673,0.065089,17.2,19.95131,18.30361,17.7136,17.42514,17.19983
41139056096685757865,254.27067,39.38169,SN,TNS,1,0.00842241932986231,0.105741,18.22,20.91965,19.27867,18.50047,18.14862,17.88458
78578182248689237904,245.95775,15.08005,SN,TNS,1,0.0120963937411753,0.052875,17.0,19.06599,17.90279,17.34059,17.04736,16.84617
27743569404350964890,249.71333,39.81437,SN,TNS,1,0.00574935264963149,0.050833,16.69,19.4511,18.44712,18.14943,17.9682,17.8761
10604281317442242934,217.04737,16.48112,AGN,TNS,1,0.00489465314260469,0.316319,17.724,19.92654,19.36465,19.44887,18.93818,18.93793
10664300227430978364,181.24362,32.39143,SN,TNS,0,0.050861927852488,0,17.8,23.68549,22.71595,24.26726,21.37759,22.82689
28520782755385100185,192.25633,5.82714,SN,TNS,1,0.0110272080149924,-9999,17.91,23.33435,22.11275,22.17373,22.58566,24.33452
22401553992082883277,180.42962,8.13469,SN,TNS,1,0.0180237282419055,0.051466,17.0,18.33496,16.54628,15.76426,15.40271,15.13554
70301561845308527255,199.37021,3.04838,SN,TNS,1,0.0391151031421818,0.130388,18.91,20.01035,18.73744,18.05684,17.69815,17.52655
47025718120109872589,20.79258,39.07474,SN,TNS,1,0.020395831491684,-9999,18.43,21.77022,21.89336,23.30063,24.36179,22.82684
3882448289334990802,155.54075,10.43997,SN,TNS,1,0.0430559219543178,0.097406,19.6,19.20216,18.15978,17.70583,17.34819,17.18974
95419405206564399512,166.89787,22.85127,SN,TNS,1,0.00872561592286596,0.044642,16.92,16.70933,16.18758,15.99004,15.8794,15.88508
63098798303251201774,21.48438,16.59548,SN,TNS,1,0.0561842851983569,0.020413,17.2,24.63465,22.44517,21.85349,22.74064,22.82689
80247908238643209020,213.57675,10.67821,SN,TNS,1,0.0588660593123986,0.025562,17.6,17.90862,16.78251,16.34556,16.13886,15.92727
98878106345266676882,2.65183,-6.63582,SN,TNS,0,0.0653463792177838,0,18.24,25.3031,23.46656,24.65582,24.3618,22.8269
21658545887977976707,214.83746,-20.95172,SN,TNS,1,0.0698828262938243,0.012489,16.8,16.30465,14.51874,13.59269,13.10991,12.67166
34132734109430357986,129.40925,19.40387,SN,TNS,1,0.00482358838875058,0.0758,18.17,19.65845,18.79749,18.56624,18.36415,18.36026
30819243011484472173,59.43975,15.93109,SN,TNS,1,0.0111802345860214,0.079275,19.2,22.56601,21.12263,20.4899,20.14396,20.29171
37385506294247121758,175.48404,12.5861,SN,TNS,1,0.0323726009324666,0.032196,17.1,17.25918,15.47066,14.64493,14.26338,13.95267
55845414623578387790,181.36112,20.29912,SN,TNS,0,0.0269734634337966,0,16.69,24.16841,24.03754,22.98052,24.02936,23.21181
11305525902850200518,113.35612,37.62911,VS,TNS,0,0.00470189303361354,0,15.68,22.12629,21.88987,22.08975,22.47853,21.72241
92960184311364082991,274.89821,23.78589,SN,TNS,1,0.0815291662601076,0.02924,17.6,17.43004,15.55589,14.73431,14.3123,14.05477
76811466120439358967,197.76933,49.31792,SN,TNS,1,0.0335976498433385,0.069193,20.18,19.28363,17.99118,17.39623,16.97978,16.68281
40256373429912982005,196.46346,46.97308,SN,TNS,1,0.0427877948007943,0.13827,20.3,20.33194,19.42593,18.9818,18.63755,18.7607
64374481182341588012,158.32333,16.40754,SN,TNS,1,0.0882282059599421,-9999,17.53,21.58941,20.68267,21.02251,24.3618,22.8269
