id,ra,dec,transient_label,transient_mag,transient_filter,host_label_1,host_label_2,host_offset_1,host_offset_2,host_redshift_1,u1,g1,r1,i1,z1,host_redshift_2,u2,g2,r2,i2,z2
26650,213.57675,10.67821,SN,17.6,V-Johnson,GALAXY,STAR,0.0588660593123986,0.110708443467475,0.025562,17.90862,16.78251,16.34556,16.13886,15.92727,0,23.47471,22.93978,21.85644,21.3596,21.04651
26624,215.18192,13.69576,SN,17.9,g-Sloan,GALAXY,STAR,0.162458932791404,0.199691900455644,0.018002,16.42517,15.35896,15.0454,14.88777,14.77933,0,23.59627,23.52705,23.25492,22.45331,21.90789
26605,210.149,-7.73504,SN,19.083,orange-ATLAS,GALAXY,STAR,0.0979669237327872,0.205136800633582,0.080214,18.78298,16.60694,15.67673,15.2535,14.90403,0,24.89825,22.95084,22.41619,21.50719,21.6578
26598,217.12921,37.06777,SN,18.944,orange-ATLAS,GALAXY,STAR,0.0175500309841951,0.137099340373366,0.032457,18.09976,16.96095,16.52542,16.29518,16.05625,0,24.27472,25.04623,24.49547,23.88334,21.21146
26599,249.24025,63.96993,SN,18.67,cyan-ATLAS,GALAXY,STAR,0.0727804208552212,0.159322382056744,0.050362,23.90625,20.8244,20.50433,20.44112,20.77806,0,20.76929,19.51545,19.11537,18.88516,18.72088
26585,257.236,27.39807,AGN,18.33,r-ZTF,GALAXY,STAR,0.00524818537821266,0.168001834981694,0.072028,19.21676,17.21658,16.30145,15.89216,15.58177,0,24.49485,23.45657,23.3185,23.17076,22.59902
26581,291.91083,61.94683,SN,17.2,g-Sloan,GALAXY,STAR,0.0334202245435567,0.11329268282849,0.034245,18.04724,16.37993,15.68398,15.31369,14.97725,0,22.66311,22.31558,21.67135,22.63393,21.43568
26580,248.92817,4.82591,SN,19.019,orange-ATLAS,GALAXY,STAR,0.0521462104156457,0.190047797460599,0.102082,21.75774,20.09813,19.58306,19.40354,19.22691,0,23.90379,23.50048,22.3399,21.11783,20.55752
26577,224.3695,5.84253,SN,18.6,Clear-,GALAXY,STAR,0.14992534394267,0.269697879938267,0.039814,17.81327,15.87806,15.05397,14.64639,14.32605,0,22.10353,24.56246,24.093,23.91118,23.08448
26569,152.61712,2.23049,SN,17.9,g-Sloan,STAR,STAR,0.0425921033485376,0.0910937183650549,0,21.95307,21.40727,20.99095,21.21075,21.25437,0,21.55547,20.71917,20.44137,20.51008,20.28651
26505,113.31633,-11.23403,SN,17.86,orange-ATLAS,STAR,GALAXY,1.33801141367825,1.44239376771675,0,24.86677,23.20276,22.28143,21.46737,22.66858,0.359707,26.39819,25.05277,21.65284,20.40174,19.98681
26244,167.45933,28.97138,SN,18.89,r-ZTF,GALAXY,GALAXY,0.0133027848320792,0.0706240328876117,0.03884,17.61127,15.72726,14.92329,14.54517,14.26085,-9999,18.80409,21.75412,21.4201,20.45857,20.87098
26258,251.77379,-7.31558,VS,18.139,orange-ATLAS,GALAXY,STAR,0.0463961288457931,0.164361517472474,0.007601,25.84639,25.12143,22.95969,24.55067,22.8186,0,25.36965,24.46316,22.81023,22.32911,21.96703
26237,188.93471,-0.22111,SN,18.281,orange-ATLAS,GALAXY,GALAXY,0.237593050418377,0.271213514572341,0.025069,17.5411,16.21349,15.74124,15.50862,15.31433,0.306128,24.46332,22.51894,21.87483,21.63753,20.47985
26226,246.62421,17.32059,SN,19.313,orange-ATLAS,GALAXY,STAR,0.0283358130682521,0.250467675523088,0.124297,21.10047,19.34555,18.40186,17.88568,17.45621,0,24.87824,23.14946,21.47956,20.15585,19.55851
26225,248.56567,26.88957,SN,19.164,orange-ATLAS,GALAXY,STAR,0.0737701549368743,0.162722080125756,0.420973,24.55909,23.15154,21.65093,20.99854,20.69531,0,24.21984,23.62248,22.86736,22.8312,21.50991
26222,224.76904,19.5872,SN,18.25,orange-ATLAS,STAR,STAR,0.00283907320231185,0.0694227373658499,0,22.12241,25.11438,24.31181,24.3618,22.8269,0,22.36928,23.73128,24.80202,24.3618,22.8269
26209,251.60537,25.42146,SN,17.8,G-Gaia,GALAXY,GALAXY,0.00340716402888975,0.247537419599523,0.075588,19.76712,18.04527,17.19778,16.77378,16.44994,0.506654,24.49051,22.53662,21.77191,20.73036,19.96823
26206,222.40958,25.3702,SN,18.0,V-crts-CRTS,GALAXY,GALAXY,0.020507994625616,0.25246348341349,0.411397,24.29706,22.47868,21.23506,20.72147,20.25617,0.218907,24.42916,22.50058,22.28914,22.02292,22.21499
26208,231.85508,-0.44789,SN,17.9,r-Sloan,STAR,GALAXY,0.0163243788634815,0.113270855800986,0,25.50277,24.07784,22.05728,21.14067,20.3789,0.096685,21.31419,20.74472,20.59409,20.40873,20.79459
26185,166.06662,50.03055,SN,18.591,orange-ATLAS,STAR,GALAXY,0.0814078539515618,0.183576876075715,0,22.52836,22.49488,22.11951,22.18065,22.2063,0.469681,22.25463,21.83127,21.14286,20.97369,21.33386
26202,165.62621,55.59883,SN,18.26,G-Gaia,GALAXY,GALAXY,0.0208092345288691,0.0396857721085214,0.104186,20.87276,20.01687,19.7222,19.48737,19.57391,0.851675,22.82708,22.57841,22.41552,21.59342,21.28993
26182,187.32329,6.34114,SN,18.76,r-ZTF,GALAXY,GALAXY,0.00988826891699952,0.266752420325327,0.128719,21.67603,19.74373,18.81956,18.36445,17.99882,0.054329,21.96246,25.37555,25.51437,24.24155,23.05209
26183,128.47783,55.5415,SN,17.64,orange-ATLAS,STAR,STAR,0.0672059056216974,0.121552148561094,0,20.95478,20.69534,20.80452,21.04869,21.43059,0,21.93431,21.39673,21.34471,21.3027,22.24733
26178,199.52763,27.87339,SN,20.04,r-ZTF,GALAXY,GALAXY,0.0142224509044688,0.189376653427529,0.082104,19.07353,18.1646,17.84087,17.53318,17.43182,0.406834,22.73047,22.60624,21.8558,21.69371,21.21813
26174,208.32979,-4.85885,SN,19.826,i-Sloan,GALAXY,GALAXY,0.0573674063454009,0.172778503714926,0.068163,19.21115,17.81734,17.20933,16.82898,16.56257,0.122698,20.97514,19.96329,19.47657,19.26262,18.93459
26172,166.19792,-15.63311,SN,18.2,g-Sloan,GALAXY,GALAXY,0.164168922252698,0.184054082086425,0.061387,17.97268,15.98542,15.03979,14.57042,14.22228,0.316122,24.30603,24.90661,22.82285,22.65725,23.41429
26170,201.15925,-2.58111,SN,22.444,g-Sloan,GALAXY,GALAXY,0.027804473794824,0.148088021306228,0.07268,19.80075,18.54429,18.13777,17.87123,17.78604,0.286208,24.03376,24.06349,21.65169,21.46807,21.0673
26162,155.67162,15.93892,SN,17.0,g-Sloan,GALAXY,STAR,0.0324707763746711,0.198890186755853,0.035127,17.05551,15.41455,14.66936,14.29824,14.01378,0,24.21708,22.94663,22.47701,22.87867,22.26231
26158,217.25217,17.32517,SN,18.083,orange-ATLAS,STAR,STAR,0.111701752665604,0.229438324929628,0,24.60762,24.97237,24.32092,22.32541,22.01697,0,19.18585,18.04826,17.62947,17.46047,17.46736
26157,350.74308,-1.02789,SN,16.9,g-Sloan,GALAXY,STAR,0.0151405820989821,0.0603240922566161,0.072922,19.27048,18.05561,17.62726,17.32285,17.22971,0,24.72092,23.11796,22.46425,22.8494,23.05043
26159,195.48075,7.60169,SN,18.685,orange-ATLAS,GALAXY,GALAXY,0.199799450358352,0.321294028916035,0.035535,17.37522,15.86576,15.0854,14.68481,14.3603,-9999,24.14688,21.74817,20.9329,20.53403,22.54607
26137,233.888,12.5679,SN,18.6,Clear-,GALAXY,STAR,0.0287074122072244,0.128036237453473,0.032003,18.15536,16.93082,16.50743,16.27254,16.18166,0,22.50849,23.87704,23.87856,23.20438,21.60708
26136,142.84583,17.80831,SN,17.4,g-Sloan,GALAXY,STAR,0.0384904396528279,0.0604199785025968,0.068108,20.5851,19.2461,18.86329,18.58203,18.42103,0,24.32387,21.78253,20.35384,19.73401,19.45763
