id,ra,dec,transient_label,host_label,offset,redshift,transient_mag,u,g,r,i,z
26650,213.57675,10.67821,SN,1,0.0588660593123986,0.025562,17.6,17.90862,16.78251,16.34556,16.13886,15.92727
26605,210.149,-7.73504,SN,1,0.0979669237327872,0.080214,19.083,18.78298,16.60694,15.67673,15.2535,14.90403
26599,249.24025,63.96993,SN,1,0.0727804208552212,0.050362,18.67,23.90625,20.8244,20.50433,20.44112,20.77806
26585,257.236,27.39807,AGN,1,0.00524818537821266,0.072028,18.33,19.21676,17.21658,16.30145,15.89216,15.58177
26581,291.91083,61.94683,SN,1,0.0334202245435567,0.034245,17.2,18.04724,16.37993,15.68398,15.31369,14.97725
26598,217.12921,37.06777,SN,1,0.0175500309841951,0.032457,18.944,18.09976,16.96095,16.52542,16.29518,16.05625
26580,248.92817,4.82591,SN,1,0.0521462104156457,0.102082,19.019,21.75774,20.09813,19.58306,19.40354,19.22691
26569,152.61712,2.23049,SN,0,0.0425921033485376,0,17.9,21.95307,21.40727,20.99095,21.21075,21.25437
26258,251.77379,-7.31558,VS,1,0.0463961288457931,0.007601,18.139,25.84639,25.12143,22.95969,24.55067,22.8186
26244,167.45933,28.97138,SN,1,0.0133027848320792,0.03884,18.89,17.61127,15.72726,14.92329,14.54517,14.26085
26226,246.62421,17.32059,SN,1,0.0283358130682521,0.124297,19.313,21.10047,19.34555,18.40186,17.88568,17.45621
26225,248.56567,26.88957,SN,1,0.0737701549368743,0.420973,19.164,24.55909,23.15154,21.65093,20.99854,20.69531
26209,251.60537,25.42146,SN,1,0.00340716402888975,0.075588,17.8,19.76712,18.04527,17.19778,16.77378,16.44994
26222,224.76904,19.5872,SN,0,0.00283907320231185,0,18.25,22.12241,25.11438,24.31181,24.3618,22.8269
26208,231.85508,-0.44789,SN,0,0.0163243788634815,0,17.9,25.50277,24.07784,22.05728,21.14067,20.3789
26202,165.62621,55.59883,SN,1,0.0208092345288691,0.104186,18.26,20.87276,20.01687,19.7222,19.48737,19.57391
26206,222.40958,25.3702,SN,1,0.020507994625616,0.411397,18.0,24.29706,22.47868,21.23506,20.72147,20.25617
