,id,ra,dec,transient_label,host_label,offset,redshift,transient_mag,u,g,r,i,z
1,17940112557443940589,209.76858,33.13897,SN,1,0.116282225904693,0.064456,17.4,17.709789999999998,15.73286,14.828429999999999,14.419889999999999,14.11767
2,33552891747876502665,219.42407999999998,2.2856799999999997,SN,1,0.136591346452562,0.061099,18.66,14.41531,13.53398,12.910910000000001,12.34407,12.098339999999999
4,97066031492326793000,21.110870000000002,-2.14057,SN,1,0.0940300404108496,0.065035,17.39,18.97515,17.80783,17.37733,17.08062,17.01455
6,74732634045065349758,201.84587,-2.80558,SN,0,0.15204112681151402,0.0,18.85,25.823929999999997,23.17343,21.76201,20.78022,20.17774
10,96120107624487135796,217.04737000000003,16.48112,AGN,1,0.00489465314260469,0.316319,17.724,19.92654,19.36465,19.44887,18.93818,18.937929999999998
12,57671725164311935325,181.24362,32.39143,SN,0,0.050861927852488005,0.0,17.8,23.685489999999998,22.71595,24.26726,21.377589999999998,22.82689
17,38301596198888346399,199.37021000000001,3.04838,SN,1,0.0391151031421818,0.130388,18.91,20.01035,18.73744,18.05684,17.69815,17.52655
18,36274061743563165972,180.42962,8.134689999999999,SN,1,0.0180237282419055,0.051466,17.0,18.33496,16.54628,15.76426,15.40271,15.135539999999999
20,84199270207741346005,18.95862,34.6155,SN,1,0.166172411504757,0.143131,19.1,20.41301,18.989639999999998,17.925910000000002,17.3538,16.91862
22,10664663514594021176,155.54075,10.439969999999999,SN,1,0.0430559219543178,0.09740599999999999,19.6,19.20216,18.159779999999998,17.70583,17.34819,17.18974
23,32315429958859433630,214.83746000000002,-20.95172,SN,1,0.0698828262938243,0.012489,16.8,16.30465,14.51874,13.59269,13.109910000000001,12.671660000000001
26,42735469155902736853,175.48404,12.5861,SN,1,0.0323726009324666,0.032195999999999995,17.1,17.259179999999997,15.47066,14.644929999999999,14.263379999999998,13.952670000000001
27,12686730257978543420,113.35611999999999,37.62911,VS,0,0.004701893033613539,0.0,15.68,22.12629,21.889870000000002,22.08975,22.47853,21.72241
30,55836517434589777003,151.07746,43.42476,SN,1,0.11659449849218599,-9999.0,17.2,19.0181,21.91003,22.50004,22.148139999999998,23.79802
34,21585850514840954653,197.76933,49.31792,SN,1,0.0335976498433385,0.06919299999999999,20.18,19.28363,17.99118,17.39623,16.979779999999998,16.68281
36,12954833619627429172,119.19875,37.8204,SN,1,0.10080540140234,0.280952,17.78,22.75225,20.63074,19.34018,18.748739999999998,18.345670000000002
37,5969975273599340930,310.19525,32.79639,VS,1,0.29946947351578695,-9999.0,17.81,14.51573,14.67573,15.032,14.27863,12.89831
43,72963459763663936747,161.80528999999999,0.20387,SN,1,0.0732730889433534,0.036198,18.59,18.2496,17.15319,16.70809,16.45757,16.2828
48,46539198624921196459,196.26254,53.65922,SN,0,0.0121504609469451,0.0,17.59,23.94739,22.05989,21.5468,21.23544,20.973010000000002
55,21143712288081968776,170.72871,16.58972,VS,1,0.012612074300611,0.024907,13.8,13.863339999999999,12.79665,12.44011,12.20235,12.07429
56,75037506852648876166,205.99971000000002,30.933609999999998,SN,1,0.0920350238326836,0.067427,18.2,19.27502,18.07009,17.71191,17.388560000000002,17.25914
57,57088270718013159015,260.68525,62.162330000000004,SN,0,0.08115406540044799,0.0,17.8,21.71331,21.10096,21.11334,21.0784,22.82692
67,59676946791881075318,179.48237,-3.46023,SN,1,0.0225063542740662,0.11253900000000001,20.38,19.8929,18.885460000000002,18.39989,18.06185,17.844720000000002
