,id,ra,dec,transient_label,survey,host_label,offset,redshift,transient_mag,u,g,r,i,z
7,10604281317442242934,217.04737000000003,16.48112,AGN,TNS,1,0.00489465314260469,0.316319,17.724,19.92654,19.36465,19.44887,18.93818,18.937929999999998
10,22401553992082883277,180.42962,8.134689999999999,SN,TNS,1,0.0180237282419055,0.051466,17.0,18.33496,16.54628,15.76426,15.40271,15.135539999999999
17,98878106345266676882,2.65183,-6.63582,SN,TNS,0,0.0653463792177838,0.0,18.24,25.3031,23.46656,24.655820000000002,24.3618,22.8269
19,34132734109430357986,129.40925,19.40387,SN,TNS,1,0.00482358838875058,0.0758,18.17,19.65845,18.79749,18.56624,18.36415,18.36026
23,11305525902850200518,113.35611999999999,37.62911,VS,TNS,0,0.004701893033613539,0.0,15.68,22.12629,21.889870000000002,22.08975,22.47853,21.72241
28,95208606672197529566,189.18004,26.11352,SN,TNS,1,0.05511084242661099,0.030805000000000003,15.9,18.557370000000002,17.58655,17.08941,16.8545,16.62191
34,36041502283670048842,170.72871,16.58972,VS,TNS,1,0.012612074300611,0.024907,13.8,13.863339999999999,12.79665,12.44011,12.20235,12.07429
36,15538239814006972500,217.93325,45.77799,SN,TNS,1,0.0305084081228568,0.08472400000000001,17.8,19.19448,17.6978,16.91928,16.46807,16.13007
37,15652883219544916654,210.149,-7.73504,SN,TNS,1,0.0979669237327872,0.080214,19.083,18.78298,16.606939999999998,15.67673,15.2535,14.904029999999999
40,90900665830631734215,138.08408,13.67281,SN,TNS,1,0.0789594356317647,0.029661,16.5,17.01302,15.08735,14.253,13.8465,13.51795
47,40522360771775042396,183.01529,6.653969999999999,SN,TNS,1,0.0126960271697178,0.11739200000000001,20.19,21.63875,19.695079999999997,18.812920000000002,18.4324,18.06982
53,98863580978919436127,225.96107999999998,48.380559999999996,SN,TNS,0,0.0213673343645115,0.0,17.3,23.1174,20.97534,20.90024,20.744670000000003,22.8269
66,94147349061632818020,257.236,27.39807,AGN,TNS,1,0.00524818537821266,0.072028,18.33,19.21676,17.21658,16.30145,15.89216,15.58177
68,8119660579185238159,323.54296,-1.8881299999999999,AGN,TNS,0,0.000817329147045102,0.0,16.88,18.84194,18.178320000000003,17.64241,17.26174,16.89375
74,51236500673521496725,354.48592,27.27715,SN,TNS,1,0.00966864007385438,0.047542,17.0,20.13721,18.790860000000002,18.3176,18.09169,17.89965
75,48638595589437311285,236.38983,30.145429999999998,SN,TNS,0,0.051477101054425996,0.0,17.59,23.31164,23.09439,22.37379,21.31725,22.3641
93,84796475785412386798,304.29725,58.2025,SN,TNS,1,0.0194895140488792,0.012737,16.9,17.949370000000002,16.53793,15.657860000000001,15.246039999999999,14.81417
96,17925445204572653940,28.49571,-0.75055,SN,TNS,1,0.0574600233368433,0.012977,20.5,15.903129999999999,14.796389999999999,14.38841,14.2002,14.090670000000001
97,22071166207882145644,152.61712,2.23049,SN,TNS,0,0.0425921033485376,0.0,17.9,21.95307,21.40727,20.99095,21.21075,21.25437
100,64307013968056168201,151.62129,22.445629999999998,SN,TNS,1,0.00480774199838197,0.326629,16.84,22.580289999999998,22.589570000000002,22.56609,22.882189999999998,23.240920000000003
106,82172720241435931465,1.76312,-20.696839999999998,SN,TNS,1,0.0683911721092438,0.061722000000000006,19.56,19.20934,17.98102,17.66316,17.383470000000003,17.2757
110,92601235681078437532,227.35632999999999,25.47154,SN,TNS,1,0.0483020465344478,0.022109,17.6,18.05876,16.933239999999998,16.532970000000002,16.34554,16.20128
111,47596728460258068258,138.59933,49.59247,SN,TNS,1,0.00797434597296982,0.077455,17.6,20.8715,19.965310000000002,19.71997,19.53138,19.43785
114,30275468340047827155,111.88183000000001,33.77662,VS,TNS,1,0.0130931036759769,0.40229000000000004,15.3,22.93439,22.10247,21.76153,21.81723,22.89992
115,39102017162941871232,139.76766999999998,5.88685,SN,TNS,1,0.061092803170118,0.06296,18.11,17.42516,15.99446,15.328389999999999,14.914570000000001,14.65213
116,32668837641134087107,5.38558,-5.95675,SN,TNS,1,0.0116592162229056,0.048699,18.5,18.41638,17.59232,17.36429,17.22791,17.2862
117,5219120719823752531,232.66887000000003,45.98105,SN,TNS,1,0.0316176672294287,0.075766,18.24,18.50457,17.187170000000002,16.54925,16.119020000000003,15.859029999999999
118,42199532440826550646,251.77379,-7.315580000000001,VS,TNS,1,0.0463961288457931,0.007601,18.139,25.84639,25.12143,22.95969,24.55067,22.8186
119,23577048625711640707,138.73042,46.9025,SN,TNS,0,0.0624463516081732,0.0,18.0,23.16449,25.11437,21.04559,24.3618,22.82689
125,42007012075548604103,246.87883,49.69574,SN,TNS,1,0.063667443842581,0.053337,17.91,19.22983,18.23254,17.941589999999998,17.71687,17.55586
129,76343913127403698730,183.4225,28.444409999999998,SN,TNS,1,0.00581997161447212,0.283896,18.97,23.28394,21.724510000000002,21.384610000000002,20.993029999999997,21.05051
137,15607491789664710273,306.43629,-21.66108,SN,TNS,1,0.0527785365527978,0.055096000000000006,18.92,18.228289999999998,16.72789,16.040789999999998,15.65867,15.3752
143,75816934378672397563,43.927459999999996,75.15381,SN,TNS,1,0.0387454059027729,0.039654,16.1,17.03417,14.70718,13.45025,12.87485,12.42729
144,89598828634807535589,248.56567,26.889570000000003,SN,TNS,1,0.0737701549368743,0.42097299999999993,19.164,24.559089999999998,23.15154,21.65093,20.99854,20.69531
157,99440601172137238903,186.74817,11.475810000000001,SN,TNS,1,0.00650836437876887,0.104102,19.5728,20.876079999999998,19.42976,18.894000000000002,18.588060000000002,18.49869
158,43645651482284240735,9.92862,23.276510000000002,SN,TNS,1,0.0308276791809671,0.390043,19.09,21.91455,21.13063,21.02419,21.184079999999998,20.64937
160,83272973968018687439,7.48767,32.89375,OTHER,TNS,1,0.004446771039703579,0.024350999999999998,17.2273,17.00485,15.490879999999999,14.913079999999999,14.58503,14.363010000000001
163,74976717108432255444,259.98292000000004,41.68037,AGN,TNS,1,0.00973366880753739,0.214633,16.9,18.56382,18.067439999999998,17.55307,17.225189999999998,17.10053
164,75048786905835199104,344.61992000000004,-10.555810000000001,SN,TNS,0,0.0236195901202608,0.0,19.0,22.196089999999998,22.02648,22.03829,21.95456,22.8269
165,25970102862997555055,222.40957999999998,25.3702,SN,TNS,1,0.020507994625616,0.411397,18.0,24.297060000000002,22.478679999999997,21.23506,20.72147,20.25617
166,86910857269335784851,249.4525,11.79185,SN,TNS,1,0.0195576701840528,0.125676,18.61,19.03795,18.3593,18.06515,17.74127,17.76407
168,2501375493898079599,178.9235,24.91875,SN,TNS,0,0.00539299093211228,0.0,19.33,21.97749,21.46631,22.191589999999998,22.4226,22.82689
170,40604599592917587791,240.33492,26.0229,SN,TNS,1,0.0676615079205041,0.061827999999999994,18.93,19.11459,17.87066,17.31245,16.99939,16.77968
173,17269954234037771709,170.66937,12.02538,SN,TNS,1,0.0287157733213664,0.030761,17.1,16.39745,15.048820000000001,14.43591,14.09564,13.823820000000001
185,2315119271711342240,246.60271,21.31651,SN,TNS,1,0.0830327773001956,0.073782,18.87,18.50735,16.79172,15.932479999999998,15.51336,15.180079999999998
196,63465585333503574350,213.57117000000002,35.428740000000005,VS,TNS,0,0.000776878133075525,0.0,19.32,22.71407,23.22039,22.869529999999997,24.3618,22.8269
201,48262020525146609779,251.39321,22.90845,SN,TNS,1,0.0982433873648287,0.997036,20.64,22.78581,22.867639999999998,23.32716,22.429000000000002,22.24442
204,580071964486628578,196.08737,1.15093,AGN,TNS,1,0.00495516741697485,0.052198,18.195999999999998,18.55744,16.81662,16.06835,15.736239999999999,15.456439999999999
212,4488017956046232232,190.45854,68.26065,SN,TNS,1,0.0224172066939892,0.104298,18.448,22.165879999999998,19.977729999999998,19.56221,19.23294,19.28916
215,50780746517024666881,222.22332999999998,38.76748,SN,TNS,1,0.0721788059931769,0.042199,16.9,17.27507,15.61909,14.79856,14.35244,14.018310000000001
