ID,Name,RA,DEC,Type,Redshift,Host Name,Host Redshift,Discovering Group/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag,Discovery Mag Filter,Discovery Date (UT),Sender,Ext. catalog/s,SDSS objid,SDSS type,SDSS distance,SDSS ra,SDSS dec,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,SDSS obj,SDSS run,SDSS rerun,SDSS field,SDSS camcol
26076,AT 2018bcb,340.92879,-16.98557,AGN,0.12,2MASX J22434289-1659083,,ASAS-SN,ePESSTO,ASAS-SN,ASASSN-18jd,"ASASSN-3 - Paczynski, ASASSN-5 - Payne-Gaposchkin",ESO-NTT - EFOSC2-NTT,1,1,,17.5,g-Sloan,4/27/2018 2:52,Stanek,
25890,AT 2018ave,305.50967,-18.38319,AGN,0.056,2MASX J20220235-1822587,0.054905,"ASAS-SN, ATLAS",ePESSTO,ASAS-SN, ATLAS,ASASSN-18ib,"ASASSN-3 - Paczynski, ATLAS1 - ACAM1",ESO-NTT - EFOSC2-NTT,1,1,,17.7,g-Sloan,4/14/2018 8:23,Stanek
25542,AT 2018ahz,215.95933,-9.38821,AGN,0.069,,,ATLAS,ePESSTO,ATLAS,ATLAS18mmp,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,19.245,cyan-ATLAS,2/13/2018 15:50,ATLAS_Bot1,
25265,AT 2018xu,132.23313,58.6984,AGN,0.1325,,,GaiaAlerts,iPTF,GaiaAlerts,Gaia18amk,Gaia - Gaia-photometric,P60 - SED-Machine,1,1,,17.31,G-Gaia,2/17/2018 12:24,Gaia_Bot1,,1237663547442331777,3,0.00160856798410077,132.233104246273,58.6983767681582,18.87132,18.12534,17.33117,16.78811,16.63219,129,4208,301,192,3
25122,AT 2018sj,189.60175,-19.98715,AGN,,,,ATLAS,ePESSTO,ATLAS,ATLAS16abn,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,18.425,orange-ATLAS,1/29/2018 14:38,ATLAS_Bot1,,1237671267098558477,6,0.00779107388020204,189.601611828401,-19.987149315618,18.8406,18.27814,17.81457,17.52633,17.2676,13,6005,301,30,6
23085,AT 2017hup,89.99562,52.11518,AGN,0.117,,,Pan-STARRS1,iPTF,Pan-STARRS1,PS17exk,PS1 - GPC1,P200 - DBSP,1,1,,17.48,i-Sloan,11/3/2017 12:21,PS1_Bot1,
22567,AT 2017har,115.43992,16.21836,AGN,0.11,,,GaiaAlerts,,GaiaAlerts,Gaia17cmd,Gaia - Gaia-photometric,P60 - SED-Machine,1,1,,18.38,G-Gaia,9/30/2017 10:22,Gaia_Bot1,,1237674370213150861,3,0.00198135866703375,115.439904278558,16.2183306297435,18.11287,16.75025,15.83086,15.3816,15.04583,141,6728,301,41,2
22326,AT 2017grk,20.49933,-1.04019,AGN,0.06,,,ATLAS,ePESSTO,ATLAS,ATLAS17khl,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,18.42,orange-ATLAS,8/29/2017 13:27,ATLAS_Bot1,,1237666338116927553,3,0.00734950572480682,20.4992478367444,-1.04009913936062,15.89316,15.08244,14.70986,14.3178,14.15511,65,4858,301,491,1
21979,AT 2017ggh,29.54012,-32.9761,AGN,0.355,,,Pan-STARRS1,ePESSTO,Pan-STARRS1,PS17ebd,PS1 - GPC1,ESO-NTT - EFOSC2-NTT,1,1,,19.63,i-Sloan,8/9/2017 12:53,PS1_Bot1,
21951,AT 2017gff,37.68879,-45.11725,AGN,0.143,,,Pan-STARRS1,ePESSTO,Pan-STARRS1,PS17edj,PS1 - GPC1,ESO-NTT - EFOSC2-NTT,1,1,,18.39,i-Sloan,8/14/2017 14:05,PS1_Bot1,
21918,AT 2017gdy,43.52958,-41.62554,AGN,0.146,,,Pan-STARRS1,ePESSTO,Pan-STARRS1,PS17edh,PS1 - GPC1,ESO-NTT - EFOSC2-NTT,1,1,,18.36,i-Sloan,8/14/2017 13:46,PS1_Bot1,
21915,AT 2017gdv,27.58742,-33.64015,AGN,0.256,,,Pan-STARRS1,ePESSTO,Pan-STARRS1,PS17ebc,PS1 - GPC1,ESO-NTT - EFOSC2-NTT,1,1,,19.48,i-Sloan,8/9/2017 14:12,PS1_Bot1,
21590,AT 2017fro,259.98292,41.68037,AGN,0.164,SDSS J171955.84+414049.4,,"ASAS-SN, GaiaAlerts",Global SN Project,ASAS-SN, GaiaAlerts,ASASSN-17jz,"ASASSN-1 - Brutus, Gaia - Gaia-photometric",FTN - FLOYDS-N,1,1,,16.9,V-Johnson,7/27/2017 8:38,Stanek,1237665584869147028,3,0.00973366880753739,259.982707508389,41.6804036349103,18.56382,18.06744,17.55307,17.22519,17.10053,404,4682,301,218,6
18591,AT 2017bgt,242.773,2.56726,AGN,0.064,2MASX J16110570+0234002,,ASAS-SN,LCOGT SN-KP,ASAS-SN,ASASSN-17cv,ASASSN-1 - Brutus,FTN - FLOYDS-N,1,1,,17.2,V-Johnson,2/21/2017 15:07,Stanek,
15064,AT 2016gkq,323.90817,-36.77632,AGN,0.58,,,GaiaAlerts,PESSTO,GaiaAlerts,Gaia16bjk,Gaia - Gaia-photometric,ESO-NTT - EFOSC2-NTT,1,1,,18.99,G-Gaia,9/20/2016 4:27,Gaia_Bot1,
14325,AT 2016fio,302.98379,81.26745,AGN,0.08,GALEXASC J201155.52+811602.0 ,,ASAS-SN,Padova-Asiago,ASAS-SN,ASASSN-16ji,ASASSN-1 - Brutus,Ekar - AFOSC,1,1,,17.1,V-Johnson,8/25/2016 10:48,Brown,
13973,AT 2016eve,352.11542,22.41222,AGN,0.0116,NGC7678,,,,,,Other - Other,Lijiang-2.4m - YFOSC,1,1,,16.8,Clear-,8/9/2016 14:43,Nagata,,1237680298888593465,3,0.192911622572615,352.118673773978,22.4110845103277,24.63468,22.65364,20.97009,24.36181,22.82691,57,8108,301,193,5
4015, 2006U,148.43908,23.34308,AGN,,Anon.           ,,,,,,,,0,1,,0,,0000-00-00 00:00:00,,,1237667293730373885,3,0.0247918146642508,148.439057282116,23.3434926701055,21.18727,20.47358,19.47765,19.08299,18.75283,253,5080,301,235,5
1571, 1999dc,221.03667,58.89211,AGN,,Anon.           ,,,,,,,,0,1,,0,,0000-00-00 00:00:00,,,1237651249896095841,6,0.00901928201949164,221.036725410082,58.8922575702286,19.49781,19.16377,19.0597,19.20575,18.99788,97,1345,301,480,1
1563, 1999cv,218.68283,54.74069,AGN,,Anon.           ,,,,,,,,0,1,,0,,0000-00-00 00:00:00,,,1237659324944941287,6,0.00226475490744728,218.68289537508,54.7406893089115,20.2307,19.96915,19.80197,19.69063,19.59787,231,3225,301,75,2
1562, 1999cu,198.31425,46.33356,AGN,,Anon.           ,,,,,,,,0,1,,0,,0000-00-00 00:00:00,,,1237661361296769282,6,0.00836479051971757,198.314128848484,46.3336715289327,20.21814,20.01255,19.93915,19.86846,19.78505,258,3699,301,82,3
26674,AT 2018bwf,284.05417,-38.89484,CV,0,,,GaiaAlerts,ePESSTO,GaiaAlerts,Gaia18bgw,Gaia - Gaia-photometric,ESO-NTT - EFOSC2-NTT,1,1,,18.36,G-Gaia,5/19/2018 15:40,Gaia_Bot1,
26579,AT 2018bsp,270.07625,15.25794,CV,0,,,ATLAS,ePESSTO,ATLAS,ATLAS18pdb,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,17.373,orange-ATLAS,5/15/2018 13:32,ATLAS_Bot1,
26545,AT 2018brk,291.074,-19.38608,CV,0,,,ATLAS,ePESSTO,ATLAS,ATLAS17ipo,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,18.216,cyan-ATLAS,5/12/2018 13:07,ATLAS_Bot1,
26542,AT 2018brh,241.22371,-28.23924,CV,0,,,ATLAS,ePESSTO,ATLAS,ATLAS18oxn,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,17.818,cyan-ATLAS,5/12/2018 10:50,ATLAS_Bot1,
26339,AT 2018blk,280.46271,37.87463,CV,,,,ATLAS,,ATLAS,ATLAS18olb,ATLAS1 - ACAM1,Other - Other,1,1,,14.92,orange-ATLAS,5/12/2018 13:14,ATLAS_Bot1,
