ID,RA,DEC,Label,Redshift,Host Redshift,Discovering Group/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag,Discovery Mag Filter,Discovery Date (UT),Sender,Ext. catalog/s,SDSS objid,SDSS type,SDSS distance,SDSS ra,SDSS dec,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,SDSS obj,SDSS run,SDSS rerun,SDSS field,SDSS camcol
25265,132.23313,58.6984,AGN,0.1325,,GaiaAlerts,iPTF,GaiaAlerts,Gaia18amk,Gaia - Gaia-photometric,P60 - SED-Machine,1,1,,17.31,G-Gaia,2/17/2018 12:24,Gaia_Bot1,,1.24E+18,3,0.001608568,132.2331042,58.69837677,18.87132,18.12534,17.33117,16.78811,16.63219,129,4208,301,192,3
25122,189.60175,-19.98715,AGN,,,ATLAS,ePESSTO,ATLAS,ATLAS16abn,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,18.425,orange-ATLAS,1/29/2018 14:38,ATLAS_Bot1,,1.24E+18,6,0.007791074,189.6016118,-19.98714932,18.8406,18.27814,17.81457,17.52633,17.2676,13,6005,301,30,6
22567,115.43992,16.21836,AGN,0.11,,GaiaAlerts,,GaiaAlerts,Gaia17cmd,Gaia - Gaia-photometric,P60 - SED-Machine,1,1,,18.38,G-Gaia,9/30/2017 10:22,Gaia_Bot1,,1.24E+18,3,0.001981359,115.4399043,16.21833063,18.11287,16.75025,15.83086,15.3816,15.04583,141,6728,301,41,2
22326,20.49933,-1.04019,AGN,0.06,,ATLAS,ePESSTO,ATLAS,ATLAS17khl,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,18.42,orange-ATLAS,8/29/2017 13:27,ATLAS_Bot1,,1.24E+18,3,0.007349506,20.49924784,-1.040099139,15.89316,15.08244,14.70986,14.3178,14.15511,65,4858,301,491,1
21590,259.98292,41.68037,AGN,0.164,,"ASAS-SN, GaiaAlerts",Global SN Project,ASAS-SN, GaiaAlerts,ASASSN-17jz,"ASASSN-1 - Brutus, Gaia - Gaia-photometric",FTN - FLOYDS-N,1,1,,16.9,V-Johnson,7/27/2017 8:38,Stanek,1.24E+18,3,0.009733669,259.9827075,41.68040363,18.56382,18.06744,17.55307,17.22519,17.10053,404,4682,301,218,6
13973,352.11542,22.41222,AGN,0.0116,,,,,,Other - Other,Lijiang-2.4m - YFOSC,1,1,,16.8,Clear-,8/9/2016 14:43,Nagata,,1.24E+18,3,0.192911623,352.1186738,22.41108451,24.63468,22.65364,20.97009,24.36181,22.82691,57,8108,301,193,5
4015,148.43908,23.34308,AGN,,,,,,,,,0,1,,0,,0000-00-00 00:00:00,,,1.24E+18,3,0.024791815,148.4390573,23.34349267,21.18727,20.47358,19.47765,19.08299,18.75283,253,5080,301,235,5
1571,221.03667,58.89211,AGN,,,,,,,,,0,1,,0,,0000-00-00 00:00:00,,,1.24E+18,6,0.009019282,221.0367254,58.89225757,19.49781,19.16377,19.0597,19.20575,18.99788,97,1345,301,480,1
1563,218.68283,54.74069,AGN,,,,,,,,,0,1,,0,,0000-00-00 00:00:00,,,1.24E+18,6,0.002264755,218.6828954,54.74068931,20.2307,19.96915,19.80197,19.69063,19.59787,231,3225,301,75,2
1562,198.31425,46.33356,AGN,,,,,,,,,0,1,,0,,0000-00-00 00:00:00,,,1.24E+18,6,0.008364791,198.3141288,46.33367153,20.21814,20.01255,19.93915,19.86846,19.78505,258,3699,301,82,3
