ePESSTO	474	31.3%
PESSTO	277	18.3%
iPTF	202	13.4%
ASAS-SN	139	9.2%
Padova-Asiago	74	4.9%
NUTS	59	3.9%
ZTF	53	3.5%
LCOGT SN-KP	49	3.2%
PTSS	33	2.2%
Global SN Project	30	2.0%
DAO_OTS	27	1.8%
TNTS	19	1.3%
LOSS	16	1.1%
ATLAS	6	0.4%
ASAS-SN, ZTF	3	0.2%
TexSNs	3	0.2%
SKYS	3	0.2%
NUTS, PESSTO	3	0.2%
Pan-STARRS1	3	0.2%
SUNBIRD	3	0.2%
Global SN Project, ePESSTO	2	0.1%
Padova-Asiago, ePESSTO	2	0.1%
DLT40	2	0.1%
PTSS, Padova-Asiago	2	0.1%
PTSS, ePESSTO	1	0.1%
ePESSTO, Padova-Asiago	1	0.1%
Padova-Asiago, ePESSTO, ZTF	1	0.1%
NUTS, ZTF	1	0.1%
Global SN Project, ZTF	1	0.1%
ePESSTO, ZTF	1	0.1%
ZTF, Global SN Project	1	0.1%
ZTF, ePESSTO	1	0.1%
TNTS, ZTF	1	0.1%
ePESSTO, ASAS-SN	1	0.1%
HETH	1	0.1%
PTSS, iPTF	1	0.1%
STARGATE	1	0.1%
iPTF, ePESSTO	1	0.1%
ASAS-SN, LOSS	1	0.1%
ASAS-SN, ePESSTO	1	0.1%
ePESSTO, TexSNs	1	0.1%
DAO_OTS, ASAS-SN	1	0.1%
Padova-Asiago, PESSTO	1	0.1%
PESSTO, ePESSTO	1	0.1%
MUSSES	1	0.1%
iPTF, LCOGT SN-KP	1	0.1%
iPTF, PESSTO	1	0.1%
ASAS-SN, Padova-Asiago	1	0.1%
ASAS-SN, iPTF	1	0.1%
Padova-Asiago, iPTF	1	0.1%
TNTS, iPTF	1	0.1%
DAO_OTS, ATLAS	1	0.1%
