NNo,GCVS,RA,Dec,RA (hourangle),Type,Max,Min I,Min II,,Epoch,Year,Period,M-m,Spectrum,References,Other desig. p.m.(as/yr),,Epoch,,Ident.,New type,GCVS,
181037,V1037 Cas *,7.2627083,59.5719167,0.484180553,*,17.2,22,,i',,,,,,N0475 80040,,,2006,,Lit.,Xlm,V1037 Cas,
10267,LS    And *,8.0425833,41.9698889,0.53617222,NA,11.7,20.2,,B,41188,1971,,,,67003 72118,#NULL!,,1953.775,,A2.0,N,LS    And,
180710,V0710 Cas *,9.1916667,63.4813611,0.61277778,FU,18.6,21.6,,V,,,,,F8II,73074 2MASS,,,1998.668,,2MASS,TT,V0710 Cas,
180711,V0711 Cas *,9.5983333,48.3819444,0.639888887,E,25.02,26.19,,g,47035.866,,0.36077,,,73075 73075,,,1987,,GCVS,E,V0711 Cas,
180712,V0712 Cas *,9.6116667,48.3358333,0.64077778,E,24.48,25.41,,g,47036.769,,0.7225,,,73075 73075,,,1987,,GCVS,E,V0712 Cas,
180713,V0713 Cas *,9.6141667,48.3644444,0.640944447,E,24.55,25.59,,g,46731.69,,0.51423,,,73075 73075,,,1987,,GCVS,E,V0713 Cas,
180714,V0714 Cas *,9.6145833,48.4388889,0.64097222,E,24.46,25.32,,g,46733.725,,0.29863,,,73075 73075,,,1987,,GCVS,E,V0714 Cas,
180715,V0715 Cas *,9.725,48.4211111,0.648333333,E,24.32,25.44,,g,47036.769,,0.71358,,,73075 73075,,,1987,,GCVS,E,V0715 Cas,
180717,V0717 Cas *,9.7391667,48.4069444,0.64927778,RRC,24.28,25.33,,g,47034.94,,0.21599,,,73075 73075,,,1987,,GCVS,RR1,V0717 Cas,
180716,V0716 Cas *,9.7391667,48.4519444,0.64927778,E,24.17,25.08,,g,,,0.73948,,,73075 73075,,,1987,,GCVS,E,V0716 Cas,
180718,V0718 Cas *,9.7408333,48.4588889,0.649388887,E,24.22,25.2,,g,47035.87,,1.33835,,,73075 73075,,,1987,,GCVS,E,V0718 Cas,
180719,V0719 Cas *,9.7441667,48.4494444,0.649611113,E,24.3,25.33,,g,46733.62,,0.62853,,,73075 73075,,,1987,,GCVS,E,V0719 Cas,
10500,V0500 And *,10.6104167,42.2601944,0.707361113,UGSU,14.5,20.5,,*,,,,,pec(UG),80233,,,2008.908,,Lit.,UGWZ,V0500 And,
10225,HY    And *,10.6343333,41.6709444,0.708955553,UV,18.2,20.3,,B,,,,,,N0082 07737,#NULL!,,1998.895,,2MASS,UV,HY    And,
10319,PU    And *,11.3533333,40.8033333,0.756888887,EB,24.2,24.93,24.4,B,46350.83,,0.5685,,,70004,#NULL!,,,,GCVS,EC,PU    And,
