"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"1559","SN 1999cr","13:20:18.30","-20:08:50.50","SN II","","ESO 576-34      ","","","","","","","","0","1","","18","","1999-03-12 00:00:00","",""
"1558"," 1999cq","18:32:07.10","+37:36:44.32","","","UGC 11268       ","","","","","","","","0","1","","15.8","","1999-06-25 00:00:00","",""
"1557","SN 1999cp","14:06:31.30","-05:26:48.98","SN Ia","","NGC 5468        ","","","","","","","","0","1","","18.2","","1999-06-18 00:00:00","",""
"1556","SN 1999co","21:03:19.12","-14:32:48.98","SN II","","Anon.           ","","","","","","","","0","1","","17.4","","1999-06-18 00:00:00","",""
"1555","SN 1999cn","15:06:46.70","+12:51:37.01","SN Ic","","MCG +02-38-43   ","","","","","","","","0","1","","17.9","","1999-06-14 00:00:00","",""
"1554","SN 1999cm","15:11:19.18","+61:07:11.39","SN Ia","","UGC 9766        ","","","","","","","","0","1","","17.1","","1999-06-05 00:00:00","",""
"1553","SN 1999cl","12:31:56.01","+14:25:35.29","SN Ia","","NGC 4501        ","","","","","","","","0","1","","16.4","","1999-05-29 00:00:00","",""
"1552","SN 1999ck","14:08:56.59","-00:05:50.71","SN Ia","","Anon.           ","","","","","","","","0","1","","21.9","","1999-04-16 00:00:00","",""
"1551","SN 1999cj","10:14:02.46","-00:14:02.51","SN Ia","","Anon.           ","","","","","","","","0","1","","19.2","","1999-04-17 00:00:00","",""
"1550","SN 1999ci","14:52:12.70","+27:54:22.21","SN Ia","","Anon.           ","","","","","","","","0","1","","19.3","","1999-05-15 00:00:00","",""
"1549","SN 1999ch","16:54:45.69","+39:59:13.88","SN Ia","","Anon.           ","","","","","","","","0","1","","19.8","","1999-05-13 00:00:00","",""
"1548","SN 1999cg","12:43:17.55","+79:13:58.91","SN Ia","","Anon.           ","","","","","","","","0","1","","19.2","","1999-04-15 00:00:00","",""
"1547","SN 1999cf","13:33:29.71","+33:03:22.90","SN Ia","","UGC 8539        ","","","","","","","","0","1","","15.9","","1999-05-22 00:00:00","",""
"1546","SN 1999ce","11:28:51.57","+57:08:03.98","SN Ia","","Anon.           ","","","","","","","","0","1","","18.3","","1999-05-16 00:00:00","",""
"1545","SN 1999cd","11:21:42.89","+20:09:24.08","SN II","","NGC 3646        ","","","","","","","","0","1","","17.9","","1999-05-14 00:00:00","",""
"1544","SN 1999cc","16:02:42.03","+37:21:34.42","SN Ia","","NGC 6038        ","","","","","","","","0","1","","16.3","","1999-05-08 00:00:00","",""
"1543","SN 1999cb","16:25:48.41","+40:20:32.39","SN Ia","","Mkn 881         ","","","","","","","","0","1","","16.1","","1999-04-04 00:00:00","",""
"1542","SN 1999ca","10:05:22.92","-34:12:41.29","SN II","","NGC 3120        ","","","","","","","","0","1","","17","","1999-04-27 00:00:00","",""
"1540","SN 1999bz","14:01:46.75","+68:52:46.49","SN Ic","","UGC 8959        ","","","","","","","","0","1","","17.6","","1999-05-01 00:00:00","",""
"1539","SN 1999by","09:21:52.07","+51:00:06.59","SN Ia-pec","","NGC 2841        ","","","","","","","","0","1","","15","","1999-04-30 00:00:00","",""
"1538","SN 1999bx","19:01:41.44","+40:44:52.30","SN II","","NGC 6745        ","","","","","","","","0","1","","16.5","","1999-04-26 00:00:00","",""
"1537","SN 1999bw","10:19:46.81","+45:31:35.00","SN IIn","","NGC 3198        ","","","","","","","","0","1","","17.8","","1999-04-20 00:00:00","",""
"1536","SN 1999bv","17:22:40.73","+60:00:12.89","SN Ib/c","","MCG +10-25-14   ","","","","","","","","0","1","","18.1","","1999-04-19 00:00:00","",""
"1535","SN 1999bu","11:39:42.50","+31:54:29.09","SN Ic","","NGC 3786        ","","","","","","","","0","1","","17.5","","1999-04-16 00:00:00","",""
"1534","SN 1999bt","17:11:37.77","+72:25:15.49","SN Ia","","Anon.           ","","","","","","","","0","1","","17","","1999-04-09 00:00:00","",""
"1533","SN 1999bs","18:01:48.75","+07:00:49.61","SN II","","UGC 11093       ","","GaiaAlerts","","GaiaAlerts","Gaia16azz","Gaia - Gaia-photometric","","0","1","","0","","0000-00-00 00:00:00","",""
"1532","SN 1999br","13:00:41.80","+02:29:45.82","SN II","","NGC 4900        ","","","","","","","","0","1","","17.5","","1999-04-12 00:00:00","",""
"1531","SN 1999bq","13:06:54.46","-12:37:11.60","SN Ia","","Anon.           ","","","","","","","","0","1","","20.1","","1999-03-20 00:00:00","",""
"1530","SN 1999bp","11:39:46.42","-08:51:34.81","SN Ia","","Anon.           ","","","","","","","","0","1","","18.8","","1999-03-20 00:00:00","",""
"1529","SN 1999bo","14:21:07.48","-05:57:25.81","SN Ia","","Anon.           ","","","","","","","","0","1","","19.7","","1999-03-18 00:00:00","",""
"1528","SN 1999bn","11:57:00.40","-11:26:38.40","SN Ia","","Anon.           ","","","","","","","","0","1","","19.6","","1999-03-17 00:00:00","",""
"1527","SN 1999bm","12:45:00.84","-06:27:30.20","SN Ia","","Anon.           ","","","","","","","","0","1","","20.5","","1999-03-15 00:00:00","",""
"1526","SN 1999bl","11:12:13.60","-05:04:44.80","SN Ia","","Anon.           ","","","","","","","","0","1","","21.2","","1999-03-15 00:00:00","",""
"1525","SN 1999bk","11:28:52.01","-12:18:08.32","SN Ia","","Anon.           ","","","","","","","","0","1","","19.1","","1999-03-15 00:00:00","",""
"1524","SN 1999bj","11:51:38.39","-12:29:08.30","SN Ia","","Anon.           ","","","","","","","","0","1","","20.8","","1999-03-11 00:00:00","",""
"1523","SN 1999bi","11:01:15.76","-11:45:15.19","SN Ia","","Anon.           ","","","","","","","","0","1","","20.5","","1999-03-11 00:00:00","",""
"1522","SN 1999bh","10:54:46.97","+61:17:20.00","SN Ia","","NGC 3435        ","","","","","","","","0","1","","16.8","","1999-03-29 00:00:00","",""
"1521","SN 1999bg","12:04:07.30","+62:30:01.19","SN II","","IC 758          ","","","","","","","","0","1","","15.5","","1999-03-28 00:00:00","",""
"1520","SN 1999bf","11:49:52.28","-00:41:19.90","SN Ia","","Anon.           ","","","","","","","","0","1","","20.8","","1999-03-10 00:00:00","",""
"1519","SN 1999be","08:23:38.60","+18:18:20.41","SN Ia","","Anon.           ","","","","","","","","0","1","","15.8","","1999-03-10 00:00:00","",""
"1518","SN 1999bd","09:30:29.17","+16:26:07.80","SN II","","Anon.           ","","","","","","","","0","1","","17.7","","1999-02-19 00:00:00","",""
"1517","SN 1999bc","08:28:31.08","+17:28:15.38","SN Ic","","UGC 4433        ","","","","","","","","0","1","","18.9","","1999-02-19 00:00:00","",""
"1516","SN 1999bb","11:05:16.47","-06:01:32.48","SN Ia","","Anon.           ","","","","","","","","0","1","","20.6","","1999-02-23 00:00:00","",""
"1515","SN 1999ba","10:19:19.37","-02:49:39.00","SN Ia","","Anon.           ","","","","","","","","0","1","","20","","1999-02-23 00:00:00","",""
"1513","SN 1999az","10:18:56.37","-10:25:18.08","SN Ia","","Anon.           ","","","","","","","","0","1","","20.5","","1999-02-23 00:00:00","",""
"1512","SN 1999ay","14:44:43.86","+58:55:42.31","SN II","","Anon.           ","","","","","","","","0","1","","18","","1999-03-21 00:00:00","",""
"1511","SN 1999ax","14:03:57.92","+15:51:09.22","SN Ia","","Anon.           ","","","","","","","","0","1","","18.5","","1999-03-20 00:00:00","",""
"1510","SN 1999aw","11:01:36.37","-06:06:31.61","SN Ia","","Anon.           ","","","","","","","","0","1","","17.6","","1999-03-09 00:00:00","",""
"1509","SN 1999av","10:55:49.70","-09:20:22.88","SN Ia","","Anon.           ","","","","","","","","0","1","","18.6","","1999-03-09 00:00:00","",""
"1508","SN 1999au","08:58:58.01","-07:22:09.91","SN Ia","","Anon.           ","","","","","","","","0","1","","19.2","","1999-03-09 00:00:00","",""
"1507","SN 1999at","10:23:11.30","+17:59:06.00","SN Ia","","Anon.           ","","","","","","","","0","1","","18.8","","1999-02-18 00:00:00","",""
"1506","SN 1999as","09:16:30.86","+13:39:02.20","SN Ia","","Anon.           ","","","","","","","","0","1","","18.3","","1999-02-18 00:00:00","",""
"1505","SN 1999ar","09:20:16.00","+00:33:39.60","SN Ia","","Anon.           ","","","","","","","","0","1","","19.7","","1999-03-06 00:00:00","",""
"1504","SN 1999aq","09:38:10.79","-05:08:56.18","SN Ia","","Anon.           ","","","","","","","","0","1","","18.8","","1999-02-20 00:00:00","",""
"1503","SN 1999ap","08:29:47.46","+04:37:38.50","SN II","","Anon.           ","","","","","","","","0","1","","19.4","","1999-02-20 00:00:00","",""
"1502","SN 1999ao","06:27:26.37","-35:50:24.22","SN Ia","","Anon.           ","","","","","","","","0","1","","18.2","","1999-03-03 00:00:00","",""
"1501","SN 1999an","12:01:10.57","+14:06:12.31","SN II","","IC 755          ","","","","","","","","0","1","","15","","1999-03-07 00:00:00","",""
"1500","SN 1999am","08:24:10.88","+12:06:58.61","SN Ia","","Anon.           ","","","","","","","","0","1","","17.8","","1999-02-18 00:00:00","",""
"1499"," 1999al","11:10:25.68","-07:26:37.00","","","Anon.           ","","","","","","","","0","1","","19.4","","1999-02-21 00:00:00","",""
"1498"," 1999ak","11:06:52.05","-11:39:13.28","","","Anon.           ","","","","","","","","0","1","","18.7","","1999-02-17 00:00:00","",""
"1497"," 1999aj","11:22:39.34","-11:43:53.90","","","Anon.           ","","","","","","","","0","1","","20.9","","1999-02-17 00:00:00","",""
"1496"," 1999ai","13:14:10.57","-05:35:43.69","","","Anon.           ","","","","","","","","0","1","","18.1","","1999-02-15 00:00:00","",""
"1495"," 1999ah","12:09:37.20","-06:18:34.31","","","Anon.           ","","","","","","","","0","1","","20.8","","1999-02-13 00:00:00","",""
"1494"," 1999ag","12:15:22.81","-05:18:12.38","","","Anon.           ","","","","","","","","0","1","","20.7","","1999-02-12 00:00:00","",""
"1493"," 1999af","13:44:50.95","-06:40:12.61","","","Anon.           ","","","","","","","","0","1","","20.6","","1999-02-12 00:00:00","",""
"1492"," 1999ae","11:51:24.48","-04:39:09.40","","","Anon.           ","","","","","","","","0","1","","21.2","","1999-02-10 00:00:00","",""
"1491"," 1999ad","11:33:18.46","-05:45:29.81","","","Anon.           ","","","","","","","","0","1","","20.2","","1999-02-09 00:00:00","",""
"1490"," 1999ac","16:07:15.01","+07:58:20.39","","","NGC 6063        ","","","","","","","","0","1","","15.2","","1999-02-26 00:00:00","",""
"1489","SN 1999ab","10:25:00.64","+53:52:36.98","SN II","","Anon.           ","","","","","","","","0","1","","18.3","","1999-02-08 00:00:00","",""
